Temps___(ms):,	Pos.cal.(um):,	Tension_(mV):	
 7.5796373E+7,	-4.2471700E+1,	 1.5632634E+2	
 7.5796419E+7,	-4.2461575E+1,	 1.1235955E+2	
 7.5796464E+7,	-4.2451451E+1,	 9.0376161E+1	
 7.5796509E+7,	-4.2441327E+1,	 8.5490964E+1	
 7.5796554E+7,	-4.2431202E+1,	 9.0376161E+1	
 7.5796600E+7,	-4.2421078E+1,	 1.0503175E+2	
 7.5796645E+7,	-4.2410953E+1,	 1.2945774E+2	
 7.5796691E+7,	-4.2400829E+1,	 1.7830972E+2	
 7.5796736E+7,	-4.2390705E+1,	 1.9785051E+2	
 7.5796782E+7,	-4.2380580E+1,	 2.2227651E+2	
 7.5796827E+7,	-4.2370456E+1,	 3.4929165E+2	
 7.5796872E+7,	-4.2360332E+1,	 4.2256960E+2	
 7.5796918E+7,	-4.2350207E+1,	 5.0561798E+2	
 7.5796962E+7,	-4.2340083E+1,	 5.8866632E+2	
 7.5797008E+7,	-4.2329959E+1,	 7.4010748E+2	
 7.5797053E+7,	-4.2319834E+1,	 8.4025401E+2	
 7.5797099E+7,	-4.2309710E+1,	 9.1108942E+2	
 7.5797144E+7,	-4.2299585E+1,	 9.6726918E+2	
 7.5797189E+7,	-4.2289461E+1,	 9.9169517E+2	
 7.5797235E+7,	-4.2279337E+1,	 9.8192477E+2	
 7.5797281E+7,	-4.2269212E+1,	 9.8680997E+2	
 7.5797326E+7,	-4.2259088E+1,	 9.3307281E+2	
 7.5797371E+7,	-4.2248964E+1,	 8.0850023E+2	
 7.5797417E+7,	-4.2238839E+1,	 7.1323889E+2	
 7.5797462E+7,	-4.2228715E+1,	 6.3507575E+2	
 7.5797507E+7,	-4.2218591E+1,	 5.9110892E+2	
 7.5797552E+7,	-4.2208466E+1,	 5.5691254E+2	
 7.5797597E+7,	-4.2198342E+1,	 4.8119199E+2	
 7.5797643E+7,	-4.2188217E+1,	 4.0058622E+2	
 7.5797688E+7,	-4.2178093E+1,	 2.8822666E+2	
 7.5797734E+7,	-4.2167969E+1,	 2.2716171E+2	
 7.5797779E+7,	-4.2157844E+1,	 1.5632634E+2	
 7.5797825E+7,	-4.2147720E+1,	 1.0991696E+2	
 7.5797870E+7,	-4.2137596E+1,	 8.5490964E+1	
 7.5797916E+7,	-4.2127471E+1,	 8.5490964E+1	
 7.5797961E+7,	-4.2117347E+1,	 9.0376161E+1	
 7.5798006E+7,	-4.2107223E+1,	 9.7703956E+1	
 7.5798056E+7,	-4.2097098E+1,	 1.2457255E+2	
 7.5798101E+7,	-4.2086974E+1,	 1.5144113E+2	
 7.5798147E+7,	-4.2076849E+1,	 2.0517831E+2	
 7.5798192E+7,	-4.2066725E+1,	 2.4425989E+2	
 7.5798238E+7,	-4.2056601E+1,	 3.2730827E+2	
 7.5798283E+7,	-4.2046476E+1,	 4.2012700E+2	
 7.5798329E+7,	-4.2036352E+1,	 5.3492916E+2	
 7.5798374E+7,	-4.2026228E+1,	 5.6912553E+2	
 7.5798420E+7,	-4.2016103E+1,	 6.7415732E+2	
 7.5798464E+7,	-4.2005979E+1,	 7.4499267E+2	
 7.5798510E+7,	-4.1995855E+1,	 8.3048362E+2	
 7.5798555E+7,	-4.1985730E+1,	 8.6223739E+2	
 7.5798601E+7,	-4.1975606E+1,	 8.9154863E+2	
 7.5798646E+7,	-4.1965482E+1,	 9.5017099E+2	
 7.5798692E+7,	-4.1955357E+1,	 9.8925257E+2	
 7.5798737E+7,	-4.1945233E+1,	 1.0014656E+3	
 7.5798782E+7,	-4.1935108E+1,	 9.8925257E+2	
 7.5798828E+7,	-4.1924984E+1,	 9.7215438E+2	
 7.5798873E+7,	-4.1914860E+1,	 9.3063021E+2	
 7.5798919E+7,	-4.1904735E+1,	 8.8666344E+2	
 7.5798963E+7,	-4.1894611E+1,	 8.3536881E+2	
 7.5799009E+7,	-4.1884487E+1,	 7.7674645E+2	
 7.5799054E+7,	-4.1874362E+1,	 7.3522228E+2	
 7.5799100E+7,	-4.1864238E+1,	 6.6682953E+2	
 7.5799145E+7,	-4.1854114E+1,	 5.8378112E+2	
 7.5799191E+7,	-4.1843989E+1,	 4.9340498E+2	
 7.5799236E+7,	-4.1833865E+1,	 4.1524181E+2	
 7.5799281E+7,	-4.1823740E+1,	 3.3463606E+2	
 7.5799327E+7,	-4.1813616E+1,	 3.0288225E+2	
 7.5799372E+7,	-4.1803492E+1,	 2.6380068E+2	
 7.5799417E+7,	-4.1793367E+1,	 2.0029311E+2	
 7.5799462E+7,	-4.1783243E+1,	 1.4655593E+2	
 7.5799507E+7,	-4.1773119E+1,	 1.2945774E+2	
 7.5799552E+7,	-4.1762994E+1,	 1.0991696E+2	
 7.5799597E+7,	-4.1752870E+1,	 9.2818759E+1	
 7.5799643E+7,	-4.1742746E+1,	 8.7933563E+1	
 7.5799688E+7,	-4.1732621E+1,	 8.7933563E+1	
 7.5799733E+7,	-4.1722497E+1,	 1.2701514E+2	
 7.5799779E+7,	-4.1712372E+1,	 1.6609673E+2	
 7.5799824E+7,	-4.1702248E+1,	 2.2227651E+2	
 7.5799870E+7,	-4.1692124E+1,	 2.7601367E+2	
 7.5799915E+7,	-4.1681999E+1,	 3.3219346E+2	
 7.5799961E+7,	-4.1671875E+1,	 4.0547141E+2	
 7.5800005E+7,	-4.1661751E+1,	 4.9340498E+2	
 7.5800050E+7,	-4.1651626E+1,	 5.5446994E+2	
 7.5800096E+7,	-4.1641502E+1,	 6.5461653E+2	
 7.5800141E+7,	-4.1631378E+1,	 7.6453346E+2	
 7.5800187E+7,	-4.1621253E+1,	 8.3048362E+2	
 7.5800232E+7,	-4.1611129E+1,	 9.1353202E+2	
 7.5800278E+7,	-4.1601004E+1,	 9.8925257E+2	
 7.5800323E+7,	-4.1590880E+1,	 9.9658036E+2	
 7.5800369E+7,	-4.1580756E+1,	 9.7948217E+2	
 7.5800414E+7,	-4.1570631E+1,	 9.3551540E+2	
